"ReferenceId","PolicyDefinitionId","DisplayName","DefaultEffect","AllowedEffects","PreferredEffect"
"7d7be79c-23ba-4033-84dd-45e2a5ccdd67","/providers/Microsoft.Authorization/policyDefinitions/7d7be79c-23ba-4033-84dd-45e2a5ccdd67","Both operating systems and data disks in Azure Kubernetes Service clusters should be encrypted by customer-managed keys","Audit","Audit, Deny, Disabled","Deny"
"81e74cea-30fd-40d5-802f-d72103c2aaaa","/providers/Microsoft.Authorization/policyDefinitions/81e74cea-30fd-40d5-802f-d72103c2aaaa","Azure Data Explorer encryption at rest should use a customer-managed key","Audit","Audit, Deny, Disabled","Deny"
"82985f06-dc18-4a48-bc1c-b9f4f0098cfe","/providers/Microsoft.Authorization/policyDefinitions/82985f06-dc18-4a48-bc1c-b9f4f0098cfe","Kubernetes cluster pods should only use approved host network and port list","Audit","Audit, Deny, Disabled","Deny"
"862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb","/providers/Microsoft.Authorization/policyDefinitions/862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb","Azure Cosmos DB accounts should have firewall rules","Deny","Audit, Deny, Disabled","Deny"
"86efb160-8de7-451d-bc08-5d475b0aadae","/providers/Microsoft.Authorization/policyDefinitions/86efb160-8de7-451d-bc08-5d475b0aadae","Azure Data Box jobs should use a customer-managed key to encrypt the device unlock password","Audit","Audit, Deny, Disabled","Deny"
"87ba29ef-1ab3-4d82-b763-87fcd4f531f7","/providers/Microsoft.Authorization/policyDefinitions/87ba29ef-1ab3-4d82-b763-87fcd4f531f7","Azure Stream Analytics jobs should use customer-managed keys to encrypt data","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"95edb821-ddaf-4404-9732-666045e056b4","/providers/Microsoft.Authorization/policyDefinitions/95edb821-ddaf-4404-9732-666045e056b4","Kubernetes cluster should not allow privileged containers","Deny","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"99e9ccd8-3db9-4592-b0d1-14b1715a4d8a","/providers/Microsoft.Authorization/policyDefinitions/99e9ccd8-3db9-4592-b0d1-14b1715a4d8a","Azure Batch account should use customer-managed keys to encrypt data","Audit","Audit, Deny, Disabled","Deny"
"a049bf77-880b-470f-ba6d-9f21c530cf83","/providers/Microsoft.Authorization/policyDefinitions/a049bf77-880b-470f-ba6d-9f21c530cf83","Azure AI Search service should use a SKU that supports private link","Audit","Audit, Deny, Disabled","Deny"
"ac01ad65-10e5-46df-bdd9-6b0cad13e1d2","/providers/Microsoft.Authorization/policyDefinitions/ac01ad65-10e5-46df-bdd9-6b0cad13e1d2","SQL managed instances should use customer-managed keys to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"auditSecureTransferToStorageAccounts","/providers/Microsoft.Authorization/policyDefinitions/404c3081-a854-4457-ae30-26a93ef643f9","Secure transfer to storage accounts should be enabled","Audit","Audit, Deny, Disabled","Deny"
